place,code,type,geo_id,tot_hholds,tot_schoolage,tot_hholds_both,tot_schoolage_both,perc_hholds_both,perc_schoolage_both,tot_hholds_computer,tot_schoolage_computer,perc_hholds_computer,perc_schoolage_computer,tot_hholds_neither,tot_schoolage_neither,perc_hholds_neither,perc_schoolage_neither,cohort,subject,year,value
Houston,XH,city,9700000US4823640,1464430,351353,1234121,300155,84.3,85.4,119291,30410,8.1,8.7,109573,20532,7.5,5.8,2,reading,2019,248.672521146535
Houston,XH,city,9700000US4823640,1464430,351353,1234121,300155,84.3,85.4,119291,30410,8.1,8.7,109573,20532,7.5,5.8,2,reading,2022,246.680192536918
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,1,mathematics,2019,241.89873518484401
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,1,mathematics,2022,236.195232283923
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,2,mathematics,2019,285.94211965174
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,2,mathematics,2022,281.772509748784
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,1,reading,2019,222.505864271442
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,1,reading,2022,214.885235432219
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,2,reading,2019,266.48281590721
Idaho,ID,state,0400000US16,1723930,443496,1552612,419468,90.1,94.6,100364,19369,5.8,4.4,65681,4376,3.8,1,2,reading,2022,263.535263579042
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,1,mathematics,2019,237.397321832596
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,1,mathematics,2022,237.075790494613
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,2,mathematics,2019,282.563770056396
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,2,mathematics,2022,275.19506288848
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,1,reading,2019,218.172226008408
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,1,reading,2022,217.777584290905
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,2,reading,2019,264.695664812992
Illinois,IL,state,0400000US17,12419358,2850384,11088840,2668387,89.3,93.6,681839,130714,5.5,4.6,623885,49161,5,1.7,2,reading,2022,261.885979305147
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,1,mathematics,2019,244.883129817521
