name,code,type,cohort,subject,year,value
New York,NY,state,1,mathematics,2019,236.730707220478
New York,NY,state,1,mathematics,2022,227.09013416879301
New York,NY,state,2,mathematics,2019,280.409057321774
New York,NY,state,2,mathematics,2022,274.271532623993
New York,NY,state,1,reading,2019,219.604193649582
New York,NY,state,1,reading,2022,213.572630962094
New York,NY,state,2,reading,2019,261.75214468338
New York,NY,state,2,reading,2022,261.656845277671
North Carolina,NC,state,1,mathematics,2019,241.408136375873
North Carolina,NC,state,1,mathematics,2022,235.957627640276
North Carolina,NC,state,2,mathematics,2019,283.658856062479
North Carolina,NC,state,2,mathematics,2022,273.7014173315
North Carolina,NC,state,1,reading,2019,221.280043715178
North Carolina,NC,state,1,reading,2022,216.130141000817
North Carolina,NC,state,2,reading,2019,262.530279226334
North Carolina,NC,state,2,reading,2022,256.156371582761
North Dakota,ND,state,1,mathematics,2019,242.928390806625
North Dakota,ND,state,1,mathematics,2022,240.081124069965
North Dakota,ND,state,2,mathematics,2019,285.564288588419
North Dakota,ND,state,2,mathematics,2022,278.398280639293
North Dakota,ND,state,1,reading,2019,221.177007147619
North Dakota,ND,state,1,reading,2022,217.53456368653
North Dakota,ND,state,2,reading,2019,263.232797461833
North Dakota,ND,state,2,reading,2022,258.083568067166
Ohio,OH,state,1,mathematics,2019,241.140473457804
Ohio,OH,state,1,mathematics,2022,237.758856634656
Ohio,OH,state,2,mathematics,2019,285.713236558856
Ohio,OH,state,2,mathematics,2022,276.057123181032
Ohio,OH,state,1,reading,2019,221.969268954792
Ohio,OH,state,1,reading,2022,218.56171629756
Ohio,OH,state,2,reading,2019,267.049051157634
Ohio,OH,state,2,reading,2022,261.99738322069
Oklahoma,OK,state,1,mathematics,2019,237.195424934057
Oklahoma,OK,state,1,mathematics,2022,229.48759926715
Oklahoma,OK,state,2,mathematics,2019,276.466247861619
Oklahoma,OK,state,2,mathematics,2022,263.899682323539
Oklahoma,OK,state,1,reading,2019,216.35068432151
Oklahoma,OK,state,1,reading,2022,208.10830835914
Oklahoma,OK,state,2,reading,2019,258.197131397005
Oklahoma,OK,state,2,reading,2022,251.295531201592
Oregon,OR,state,1,mathematics,2019,236.3490312284
Oregon,OR,state,1,mathematics,2022,228.191726191097
Oregon,OR,state,2,mathematics,2019,279.50040459144
Oregon,OR,state,2,mathematics,2022,270.277716552741
Oregon,OR,state,1,reading,2019,217.71771124627
Oregon,OR,state,1,reading,2022,210.314054419297
Oregon,OR,state,2,reading,2019,263.721671156725
Oregon,OR,state,2,reading,2022,257.051773431229
Pennsylvania,PA,state,1,mathematics,2019,243.936852140578
Pennsylvania,PA,state,1,mathematics,2022,237.53877160192
Pennsylvania,PA,state,2,mathematics,2019,285.023991890132
Pennsylvania,PA,state,2,mathematics,2022,274.274094979368
Pennsylvania,PA,state,1,reading,2019,223.213382797261
Pennsylvania,PA,state,1,reading,2022,218.894472303117
Pennsylvania,PA,state,2,reading,2019,264.180562730245
Pennsylvania,PA,state,2,reading,2022,259.099219218508
Rhode Island,RI,state,1,mathematics,2019,239.344046162253
Rhode Island,RI,state,1,mathematics,2022,234.129852061607
Rhode Island,RI,state,2,mathematics,2019,275.672073085529
Rhode Island,RI,state,2,mathematics,2022,270.298634314462
Rhode Island,RI,state,1,reading,2019,220.193475524749
Rhode Island,RI,state,1,reading,2022,217.261164309337
